frame,visible,score,x,y
364,1,13.124023,1013.5345458984375,145.93942642211914
365,1,13.23584,986.3289642333984,163.59142303466797
366,1,15.388672,987.9320526123047,160.82307815551758
367,1,9.22168,988.0652618408203,160.1567268371582
368,1,9.435547,1017.4826812744141,138.78273010253906
369,1,11.810547,990.6229400634766,155.12712478637695
370,1,16.328613,1020.3450012207031,132.14056015014648
371,1,14.788574,1022.5801849365234,127.45946884155273
372,1,16.55664,1023.8814544677734,123.90091896057129
373,1,13.157715,1024.3971252441406,122.82424926757812
374,1,15.674316,1025.492935180664,118.01774024963379
375,1,14.280273,1027.2860717773438,113.29121589660645
376,1,13.192383,1028.461685180664,107.54525184631348
377,1,16.723633,1030.61279296875,100.91890335083008
378,1,7.909668,1031.5672302246094,100.87705612182617
379,1,15.194336,1032.4540710449219,95.19787788391113
380,1,16.85205,1034.671630859375,88.30129623413086
381,1,15.563965,1035.902099609375,81.65207862854004
382,1,16.086914,1038.1847381591797,74.66437339782715
383,1,16.25586,1040.2680969238281,67.32810974121094
384,1,16.577148,1042.5775146484375,60.131592750549316
385,1,7.2006836,1042.5646209716797,61.058011054992676
386,1,14.599121,1044.2237854003906,53.036136627197266
387,1,16.597656,1045.087661743164,45.111937522888184
388,1,14.995117,1047.3078918457031,37.99975633621216
389,1,17.152832,1049.0691375732422,30.320959091186523
390,1,14.278809,1050.077896118164,23.040642738342285
391,1,4.7001953,1020.0584411621094,42.26288318634033
392,1,15.668945,1050.9683227539062,15.797210931777954
393,1,12.553711,1052.2130584716797,8.826624155044556
394,1,11.971191,1021.0935211181641,22.203164100646973
395,1,9.8359375,1022.0008087158203,15.57957649230957
396,1,8.544922,1023.1127166748047,7.834857106208801
397,1,6.5024414,1022.9490661621094,7.376285791397095
398,1,10.638672,1023.5162353515625,3.368138372898102
399,0,-inf,-inf,-inf
400,1,13.555664,4.4430336356163025,123.69344711303711
401,1,11.790039,3.6544355750083923,115.2480697631836
402,1,5.270508,2.8673335909843445,110.14660835266113
403,0,-inf,-inf,-inf
404,1,11.359375,1206.781005859375,120.4166316986084
405,1,11.875,1209.2373657226562,114.58480834960938
406,1,7.382324,1211.8122863769531,108.27683448791504
407,1,2.6884766,1213.0144500732422,99.44151878356934
408,1,8.088379,1216.525650024414,94.08722877502441
409,1,0.57128906,1220.0,95.0
410,0,-inf,-inf,-inf
411,1,12.305664,1112.3059844970703,78.61915588378906
412,1,12.638672,1113.4899139404297,71.657395362854
413,1,11.352539,1114.6288299560547,65.55440902709961
414,1,12.383789,1114.31640625,59.86081600189209
415,1,4.1762695,1113.2915496826172,60.97071170806885
416,1,1.6259766,1112.5112915039062,52.5
417,1,9.233398,1113.3338165283203,47.47673034667969
418,1,12.211914,1110.9832000732422,41.232309341430664
419,1,8.991699,1110.013427734375,35.409584045410156
420,1,12.753906,1109.5006561279297,30.31862497329712
421,1,11.521973,1108.65966796875,30.651671886444092
422,1,8.188477,1108.454360961914,23.997466564178467
423,1,13.584961,1108.0225372314453,18.984616994857788
424,1,12.143555,1107.854232788086,13.369320631027222
425,1,8.097168,1108.372573852539,6.542242169380188
426,1,1.6098633,1109.1363525390625,3.2939034700393677
427,1,0.5004883,1107.5,2.5
428,0,-inf,-inf,-inf
429,1,13.597656,271.92195892333984,73.96258354187012
430,1,13.484375,270.6934356689453,69.32312965393066
431,1,12.49707,270.1446533203125,64.8570966720581
432,1,10.112793,269.5646095275879,60.112619400024414
433,1,11.532227,269.2156410217285,59.649739265441895
434,1,11.224609,269.3467330932617,56.60551071166992
435,1,12.881836,269.1590881347656,52.75983810424805
436,1,10.692871,268.54297637939453,49.514360427856445
437,1,13.416504,269.4241523742676,46.100192070007324
438,1,10.364746,269.04001235961914,43.15859317779541
439,1,3.1845703,268.74156951904297,43.72891902923584
440,0,-inf,-inf,-inf
441,1,10.196289,269.6294593811035,36.340389251708984
442,1,11.883789,269.6029853820801,33.46762180328369
443,1,10.477539,268.8119888305664,30.253751277923584
444,1,9.171387,268.1846618652344,26.72855854034424
445,0,-inf,-inf,-inf
446,0,-inf,-inf,-inf
447,1,6.567383,1030.3408813476562,32.3308539390564
448,1,1.6049805,1026.6861724853516,26.624581813812256
449,1,0.5161133,1027.5,25.0
450,0,-inf,-inf,-inf
451,0,-inf,-inf,-inf
452,0,-inf,-inf,-inf
453,0,-inf,-inf,-inf
454,0,-inf,-inf,-inf
455,0,-inf,-inf,-inf
456,0,-inf,-inf,-inf
457,1,6.5668945,1020.7777404785156,12.216893434524536
458,0,-inf,-inf,-inf
459,1,6.479492,1016.3697814941406,6.8737757205963135
460,0,-inf,-inf,-inf
461,0,-inf,-inf,-inf
462,0,-inf,-inf,-inf
463,0,-inf,-inf,-inf
464,0,-inf,-inf,-inf
465,0,-inf,-inf,-inf
466,0,-inf,-inf,-inf
467,0,-inf,-inf,-inf
468,0,-inf,-inf,-inf
469,0,-inf,-inf,-inf
470,1,1.0292969,1142.5,688.7168121337891
471,1,0.5053711,1130.0,672.5
472,0,-inf,-inf,-inf
473,0,-inf,-inf,-inf
474,0,-inf,-inf,-inf
475,0,-inf,-inf,-inf
476,0,-inf,-inf,-inf
477,0,-inf,-inf,-inf
478,0,-inf,-inf,-inf
479,0,-inf,-inf,-inf
480,1,3.21875,1030.8153533935547,608.7894439697266
481,1,1.0371094,1020.0,601.2641143798828
482,0,-inf,-inf,-inf
483,1,10.512207,974.8052978515625,8.467532396316528
484,0,-inf,-inf,-inf
485,0,-inf,-inf,-inf
486,1,7.992676,929.2589569091797,5.476204752922058
487,1,4.8481445,925.2490234375,5.325058102607727
488,1,6.967285,920.5764007568359,7.203202843666077
489,1,7.739746,917.8739166259766,8.625954389572144
490,0,-inf,-inf,-inf
491,1,10.691406,913.817138671875,9.960951805114746
492,1,10.97168,910.0228881835938,11.269581317901611
493,1,9.382324,906.29638671875,13.076112270355225
494,1,9.084961,901.0019683837891,14.86308217048645
495,1,13.099121,898.5503387451172,16.358425617218018
496,0,-inf,-inf,-inf
497,0,-inf,-inf,-inf
498,1,9.549805,890.5487823486328,19.491640329360962
499,1,12.0234375,917.6828765869141,24.737958908081055
500,1,14.28125,884.3191528320312,20.692269802093506
501,1,11.056641,880.1627349853516,21.54820203781128
502,0,-inf,-inf,-inf
503,1,0.5830078,857.5,520.0
504,1,5.801758,854.9989318847656,515.4456329345703
